Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AGE11905.1	KC292503	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
WP_063864911.1	NG_050265	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CBX53726.1	FR717535	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA66659.1	X98047	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAC32889.2	U95363	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA64682.1	X95401	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA71322.1	Y10279	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA71323.1	Y10280	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA71324.1	Y10281	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA73933.1	Y13612	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAD22538.1	AF104441	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAD22539.1	AF104442	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABB97007.1	DQ286729	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ACJ43254.1	FJ405211	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAD45935.1	AF062386	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA41038.1	X57972	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAC05975.1	AF047171	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAK17194.1	AF332513	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAD33116.2	AF091113	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAB92324.1	AJ239002	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAO33760.1	AF527798	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAF01046.1	AF188199	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAL03985.1	AF203816	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAF19151.1	AF157553	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAB65358.1	AJ012256	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAN05028.1	AY130284	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAF05613.1	AF190694	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAB65358.1	AJ012256	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAF05612.1	AF190693	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAF05611.1	AF190692	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA46344.1	X65252	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM15527.1	AF347054	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAL29433.1	AF427127	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAL29434.1	AF427128	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAL29435.1	AF427129	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAL29436.1	AF427130	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAC43229.1	AJ277414	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAC43230.1	AJ277415	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAG44570.1	AF250872	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAK14792.1	AY027590	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAK71474.1	AY039040	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAK30619.1	AF351241	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
BAB16308.1	AB049569	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAF66653.1	AF143804	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAC85660.1	AJ318093	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAC85661.1	AJ318094	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAC67290.1	AJ308558	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM22276.1	AY092401	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAD09860.1	AF090987	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAC80727.1	AJ250203	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAC41371.2	AJ295238.3	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CAD12227.2	AJ420072.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
BAB59035.1	AB061440	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic target alteration;antibiotic inactivation
AAK37619.1	AF353562	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAD55718.1	AJ514254	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAN28721.1	AF540889	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
AAV80464.1	AY825285	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAW66497.1	AY743590	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AFK31666.1	JQ740052	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAP93922.1	AY264780	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ACD35503.1	EU523697	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ACS83748.1	GQ244501	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CBH51823.1	FN594949	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ADE08374.2	GU584222	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AMP42492.1	KU736879.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
YP_007503840.1	NC_020418	major facilitator superfamily (MFS) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
AET10444.1	HQ652506.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
APB03214.1	KX531044.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ANZ79240.1	KX000272.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAA20116.1	L20800	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
BAC67143.1	AB089595	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AET10445.1	HQ652506.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
APB03215.1	KX531045.1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ANZ79241.1	KX000273.1	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAA20117.1	L20800	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAO16462.1	AY171578	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAE51745.1	BX664015	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAA71915.1	L06940	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAD25538.1	AF133139	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAA75663.1	Y15510	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAD12753.1	AF038993	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
YP_003283625.1	NC_013452	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAA22851.1	M11036	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAJ67339.1	AM180355	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAA23033.2	M18896.2	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CAA79727.1	Z21523	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CAD09823.1	AL513383	major facilitator superfamily (MFS) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic target alteration;antibiotic efflux
AAA25293.1	L09756	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAF01499.1	L42544	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAB84282.1	AF030344	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ACA23185.1	EU434751	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AMP42147.1	KU736867.1	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAA27471.1	M37699	tetracycline inactivation enzyme	glycylcycline;tetracycline antibiotic	antibiotic inactivation
AAC72341.1	AF070999	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAD25063.1	AF121000	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAC33832.1	AJ250876	THIN-B beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAD37403.1	AF148067	TLA beta-lactamase	fluoroquinolone antibiotic;monobactam;cephalosporin	antibiotic inactivation
CAG27800.1	AJ698325	TLA beta-lactamase	fluoroquinolone antibiotic;monobactam;cephalosporin	antibiotic inactivation
WP_059512353.1	NG_050312	TLA beta-lactamase	fluoroquinolone antibiotic;monobactam;cephalosporin	antibiotic inactivation
AAD12162.1	AF055922	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration
AAA26832.1	M57437	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
WP_063865147.1	NG_050313	TMB beta-lactamase	carbapenem;cephalosporin;cephamycin	antibiotic inactivation
BAM73613.1	AB758278	TMB beta-lactamase	carbapenem;cephalosporin;cephamycin	antibiotic inactivation
CAB12108.2	AL009126	tunicamycin resistance protein	nucleoside antibiotic	reduced permeability to antibiotic
ACN32294.1	FJ768952	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;aminocoumarin antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
NP_248846.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
NP_248847.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
NP_248848.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	triclosan	antibiotic efflux
WP_042027926.1	NG_047550.1	N/A	N/A	antibiotic inactivation
AAA99931.1	L39157.1	non-erm 23S ribosomal RNA methyltransferase (A1067)	peptide antibiotic	antibiotic target alteration
AAN63648.1	AF441287	TUS beta-lactamase	carbapenem;cephalosporin;cephamycin	antibiotic inactivation
NP_253290.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
NP_253290.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;penam;tetracycline antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic	antibiotic efflux
WP_004025678.1	NC_011374	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic;aminocoumarin antibiotic	antibiotic target alteration
WP_010891786.1	NC_002162.1	fluoroquinolone resistant parC;fluoroquinolone self resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
AAA65956.1	M97297	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AHH83938.1	KF823969	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AAA24786.1	AF162694	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AAM09849.1	AY082011	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AAL27442.1	FJ872411	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AAF36803.1	AF155139	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
ABA71731.1	DQ212986	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AAA65955.1	M97297	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAB05626.1	U35369	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAM09850.1	AY082011	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAF36802.1	AF155139	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
ACL82960.1	FJ349556	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AHA41499.1	KF478993	vanH;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AEP96393.1	HQ433580	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
NP_627787	NC_003888	vanJ membrane protein	glycopeptide antibiotic	antibiotic target alteration
WP_011461306	NC_007907	glycopeptide resistance gene cluster;vanK	glycopeptide antibiotic	antibiotic target alteration
ABX54687.1	EU250284	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
ACL82961.1	FJ349556	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AEP40500.1	JF802084	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AHA41500.1	KF478993	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
AAA65953.1	M97297	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAB05622.1	U35369	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAF86641.1	AF162694	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAM09851.1	AY082011	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAL27445.1	FJ872411	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAR84672.1	AF155139	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
ABA71727.1	DQ212986	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
WP_011461303	NC_007907	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
ABX54691.1	EU250284	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
ACL82957.1	FJ349556	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AEP40503.1	JF802084	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AHA41505.1	KF478993	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration
AAA65954.1	M97297	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAB05623.1	U35369	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAF86642.1	AF162694	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
ACM47284	EU999036	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAL27446.1	FJ872411	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAR84673.1	AF155139	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
ABA71728.1	DQ212986	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
WP_011461302.1	NC_007907.1	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
ABX54692.1	EU250284	vanS;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
